,DateLastVerified,ID,OperatorID,UsageTypeID,StatusTypeID,DateLastStatusUpdate,DateCreated,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactEmail,AddressInfo.AccessComments,GeneralComments,OperatorsReference,AddressInfo.ContactTelephone2,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Comments
93,2025-07-03T07:16:00Z,456404,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456793,Basic-Fit 1133 Brunssum Haefland (PowerGo),Haefland 2,Brunssum,6441 PA,50.95854906,5.97302754,,,,,,765729.0,33.0,50.0,3.0,30.0,30.0,1.0,
94,2025-06-12T19:14:00Z,313477,3387.0,4.0,50,2025-06-12T19:14:00Z,2025-06-09T19:10:00Z,313866,Last Mile Solutions,Jacques Presserhof 26,Rotterdam ,,51.94786572729845,4.456203233765791,,,,,,603716.0,25.0,50.0,2.0,11.0,,2.0,
95,2025-06-11T14:01:00Z,313370,1.0,4.0,50,2025-06-11T14:01:00Z,2025-06-08T10:30:00Z,313759,EQUANS-oplaadstation,Isaäc Da Costastraat 185,Hellevoetsluis,3221 TD,51.83373661602042,4.135614396999242,,,,,,603524.0,25.0,50.0,2.0,11.0,20.0,2.0,
96,2025-06-10T13:14:00Z,313350,1.0,6.0,50,2025-06-10T13:14:00Z,2025-06-07T13:10:00Z,313739,Lumen,Droevendaalsesteeg 3,Wageningen,6708 PB,51.98811875235097,5.667171563799229,,,,,,603484.0,28.0,50.0,,,,8.0,
97,2025-06-10T13:09:00Z,313349,1.0,6.0,100,2025-06-10T13:09:00Z,2025-06-07T13:04:00Z,313738,Lumen,Droevendaalsesteeg 3,Wageningen,6708 PB,51.98718260007058,5.666934747546065,,,,,,603483.0,25.0,100.0,,,,2.0,
98,2025-06-06T15:24:00Z,313057,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:23:00Z,313446,Tesla Supercharger Wolvega,10 Atalanta,,,52.880495,6.021328,,,,,,603172.0,33.0,50.0,3.0,250.0,30.0,20.0,
99,2025-06-06T15:24:00Z,313056,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:23:00Z,313445,Tesla Supercharger Sassenheim,Sassenheim,,,52.213255,4.503421,,,,,,603171.0,33.0,50.0,3.0,250.0,30.0,16.0,
100,2025-06-06T15:24:00Z,313055,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:23:00Z,313444,Tesla Supercharger Haarlem,2 Toekanweg,,,52.369266,4.648278,,,,,,603170.0,33.0,50.0,3.0,250.0,30.0,12.0,
101,2025-06-06T15:24:00Z,313054,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:21:00Z,313443,Tesla Supercharger Ridderkerk,1 Krommeweg,,,51.867901,4.557753,,,,,,603169.0,33.0,50.0,3.0,250.0,30.0,24.0,
102,2025-06-06T15:24:00Z,313053,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:19:00Z,313442,Tesla Supercharger Gorinchem,7 Franklinweg,,,51.841363,5.009041,,,,,,603168.0,33.0,50.0,3.0,250.0,30.0,12.0,
103,2025-06-06T15:24:00Z,313052,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:14:00Z,313441,Tesla Supercharger Nieuwerkerk aan den IJssel,185 Parallelweg Zuid,,,51.978417,4.618879,,,,,,603167.0,33.0,50.0,3.0,250.0,30.0,12.0,
104,2025-06-06T15:24:00Z,313051,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:13:00Z,313440,Tesla Supercharger Weert,101 Eindhovenseweg,,,51.2817204,5.65095,,,,,,603166.0,33.0,50.0,3.0,250.0,30.0,16.0,
105,2025-06-06T15:24:00Z,313050,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:13:00Z,313439,Tesla Supercharger Venray,Hotel Asteria Venray,,,51.547096,5.996985,,,,,,603165.0,33.0,50.0,3.0,250.0,30.0,12.0,
106,2025-06-06T15:24:00Z,313049,3534.0,4.0,50,2025-06-06T15:24:00Z,2025-06-03T14:13:00Z,313438,Tesla Supercharger Tilburg,Tilburg,,,51.5431836,5.1119267,,,,,,603164.0,33.0,50.0,3.0,250.0,30.0,16.0,
